date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:20	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:20%20GMT	https://theagency-1.webflow.io/robots.txt		(from )
19:57:20	42367/42367	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Apr%202023%2016:57:20%20GMT	https://theagency-1.webflow.io/	Elavate/elavate/theagency-1.webflow.io/index.html	(from )
19:57:20	35588/35588	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Apr%202023%2016:57:20%20GMT	https://theagency-1.webflow.io/expertise	Elavate/elavate/theagency-1.webflow.io/expertise.html	(from https://theagency-1.webflow.io/)
19:57:21	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:21%20GMT	https://theagency-1.webflow.io/about-us	Elavate/elavate/theagency-1.webflow.io/about-us	(from https://theagency-1.webflow.io/)
19:57:23	33327/33327	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Apr%202023%2016:57:22%20GMT	https://theagency-1.webflow.io/contact	Elavate/elavate/theagency-1.webflow.io/contact.html	(from https://theagency-1.webflow.io/)
19:57:23	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:23%20GMT	https://theagency-1.webflow.io/privacy-policy	Elavate/elavate/theagency-1.webflow.io/privacy-policy	(from https://theagency-1.webflow.io/)
19:57:24	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:24%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d42eab063f0504b711/602bd2ed91f8273f79692bec_spark_dribbbles-poster-00001.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d42eab063f0504b711/602bd2ed91f8273f79692bec_spark_dribbbles-poster-00001.jpg_	(from https://theagency-1.webflow.io/)
19:57:25	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:25%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b89734781975ecf2dfa15_d.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b89734781975ecf2dfa15_d.jpg_	(from https://theagency-1.webflow.io/)
19:57:26	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:26%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b8aaae2585313bc00b01b_web.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b8aaae2585313bc00b01b_web.jpg_	(from https://theagency-1.webflow.io/)
19:57:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:27%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b90449e68c45f19621300_60114f514d7e2c5c8c6dasdas391ec_6011467e8b388c8869c07744_luma-screen1.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b90449e68c45f19621300_60114f514d7e2c5c8c6dasdas391ec_6011467e8b388c8869c07744_luma-screen1.jpg_	(from https://theagency-1.webflow.io/)
19:57:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:28%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b9699224e09c3de5be37a_dsadasdas.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b9699224e09c3de5be37a_dsadasdas.jpg_	(from https://theagency-1.webflow.io/)
19:57:29	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:29%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b91339204008f664c29e6_fds.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b91339204008f664c29e6_fds.jpg_	(from https://theagency-1.webflow.io/)
19:57:31	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:30%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d42eab063f0504b711/602a6c89626707059d837da6_Untitled-Projectfsdfsd-poster-00001.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d42eab063f0504b711/602a6c89626707059d837da6_Untitled-Projectfsdfsd-poster-00001.jpg_	(from https://theagency-1.webflow.io/)
19:57:31	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:31%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d42eab063f0504b711/60129052b678ce2115b73c3a_Video%20home%2022-poster-00001.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d42eab063f0504b711/60129052b678ce2115b73c3a_Video%20home%2022-poster-00001.jpg_	(from https://theagency-1.webflow.io/)
19:57:32	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:32%20GMT	https://theagency-1.webflow.io/privacy-policy	Elavate/elavate/theagency-1.webflow.io/privacy-policy	(from https://theagency-1.webflow.io/)
19:57:32	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:32%20GMT	https://theagency-1.webflow.io/about-us	Elavate/elavate/theagency-1.webflow.io/about-us	(from https://theagency-1.webflow.io/)
19:57:33	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:33%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d42eab063f0504b711/602bd2ed91f8273f79692bec_spark_dribbbles-poster-00001.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d42eab063f0504b711/602bd2ed91f8273f79692bec_spark_dribbbles-poster-00001.jpg_	(from https://theagency-1.webflow.io/)
19:57:33	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:33%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b89734781975ecf2dfa15_d.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b89734781975ecf2dfa15_d.jpg_	(from https://theagency-1.webflow.io/)
19:57:33	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:33%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b8aaae2585313bc00b01b_web.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b8aaae2585313bc00b01b_web.jpg_	(from https://theagency-1.webflow.io/)
19:57:33	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:33%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b90449e68c45f19621300_60114f514d7e2c5c8c6dasdas391ec_6011467e8b388c8869c07744_luma-screen1.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b90449e68c45f19621300_60114f514d7e2c5c8c6dasdas391ec_6011467e8b388c8869c07744_luma-screen1.jpg_	(from https://theagency-1.webflow.io/)
19:57:34	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:34%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b9699224e09c3de5be37a_dsadasdas.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b9699224e09c3de5be37a_dsadasdas.jpg_	(from https://theagency-1.webflow.io/)
19:57:34	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:34%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b91339204008f664c29e6_fds.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b91339204008f664c29e6_fds.jpg_	(from https://theagency-1.webflow.io/)
19:57:34	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:34%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d42eab063f0504b711/60129052b678ce2115b73c3a_Video%20home%2022-poster-00001.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d42eab063f0504b711/60129052b678ce2115b73c3a_Video%20home%2022-poster-00001.jpg_	(from https://theagency-1.webflow.io/)
19:57:35	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:34%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d42eab063f0504b711/602a6c89626707059d837da6_Untitled-Projectfsdfsd-poster-00001.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d42eab063f0504b711/602a6c89626707059d837da6_Untitled-Projectfsdfsd-poster-00001.jpg_	(from https://theagency-1.webflow.io/)
19:57:35	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:35%20GMT	https://theagency-1.webflow.io/privacy-policy	Elavate/elavate/theagency-1.webflow.io/privacy-policy	(from https://theagency-1.webflow.io/)
19:57:35	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:35%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d42eab063f0504b711/602bd2ed91f8273f79692bec_spark_dribbbles-poster-00001.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d42eab063f0504b711/602bd2ed91f8273f79692bec_spark_dribbbles-poster-00001.jpg_	(from https://theagency-1.webflow.io/)
19:57:36	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:35%20GMT	https://theagency-1.webflow.io/about-us	Elavate/elavate/theagency-1.webflow.io/about-us	(from https://theagency-1.webflow.io/)
19:57:36	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:36%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b89734781975ecf2dfa15_d.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b89734781975ecf2dfa15_d.jpg_	(from https://theagency-1.webflow.io/)
19:57:36	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:36%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b8aaae2585313bc00b01b_web.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b8aaae2585313bc00b01b_web.jpg_	(from https://theagency-1.webflow.io/)
19:57:36	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:36%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b90449e68c45f19621300_60114f514d7e2c5c8c6dasdas391ec_6011467e8b388c8869c07744_luma-screen1.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b90449e68c45f19621300_60114f514d7e2c5c8c6dasdas391ec_6011467e8b388c8869c07744_luma-screen1.jpg_	(from https://theagency-1.webflow.io/)
19:57:37	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:37%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b9699224e09c3de5be37a_dsadasdas.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b9699224e09c3de5be37a_dsadasdas.jpg_	(from https://theagency-1.webflow.io/)
19:57:37	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2023%20Apr%202023%2016:57:37%20GMT	https://theagency-1.webflow.io/%22https://assets.website-files.com/600e79d45183c02683b61576/602b91339204008f664c29e6_fds.jpg%22	Elavate/elavate/theagency-1.webflow.io/_https_/assets.website-files.com/600e79d45183c02683b61576/602b91339204008f664c29e6_fds.jpg_	(from https://theagency-1.webflow.io/)
